"","ask","base_volume","bid","date","high","last","low","marketName","moy_prev_dev","open_buy_orders","open_sell_orders","volume"
"1",0.00104199,4.41050243,0.00103838,"2020-03-27T09:31:19.25",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3073,4285.64418353
"2",0.00104199,4.41050243,0.00103838,"2020-03-27T09:31:19.25",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3073,4285.64418353
"3",0.00104199,4.41050243,0.00103838,"2020-03-27T09:31:34.253",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3074,4285.64418353
"4",0.00104199,4.41050243,0.00103838,"2020-03-27T09:31:49.273",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3074,4285.64418353
"5",0.00104199,4.41050243,0.00103838,"2020-03-27T09:32:04.273",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3073,4285.64418353
"6",0.00104252,4.41050243,0.00103873,"2020-03-27T09:32:19.263",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3074,4285.64418353
"7",0.00104342,4.41050243,0.00103949,"2020-03-27T09:32:34.29",0.00104922,0.00104177,0.00101783,"BTC-NEO",0.00103301,398,3075,4285.64418353
"8",0.00104301,4.49469221,0.00103949,"2020-03-27T09:32:49.31",0.00104922,0.00103938,0.00101783,"BTC-NEO",0.00103301,398,3077,4366.64418353
"9",0.00104359,4.49469221,0.00103949,"2020-03-27T09:33:04.32",0.00104922,0.00103938,0.00101783,"BTC-NEO",0.00103301,398,3074,4366.64418353
"10",0.00104357,4.5990079,0.00103949,"2020-03-27T09:33:19.3",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3074,4466.64418353
"11",0.00104347,4.5990079,0.00103949,"2020-03-27T09:33:34.407",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3074,4466.64418353
"12",0.00104347,4.5990079,0.00103949,"2020-03-27T09:33:54.293",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,396,3074,4466.64418353
"13",0.00104336,4.5990079,0.00103949,"2020-03-27T09:34:09.287",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"14",0.00104336,4.5990079,0.00104014,"2020-03-27T09:34:24.31",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,396,3076,4466.64418353
"15",0.00104336,4.5990079,0.00104029,"2020-03-27T09:34:39.3",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,396,3076,4466.64418353
"16",0.00104336,4.5990079,0.00104029,"2020-03-27T09:34:54.31",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3074,4466.64418353
"17",0.00104336,4.5990079,0.00104029,"2020-03-27T09:35:09.287",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3074,4466.64418353
"18",0.00104335,4.5990079,0.0010403,"2020-03-27T09:35:24.307",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"19",0.00104322,4.5990079,0.00104031,"2020-03-27T09:35:39.307",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"20",0.00104323,4.5990079,0.00104031,"2020-03-27T09:35:54.293",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"21",0.00104338,4.5990079,0.00104031,"2020-03-27T09:36:09.307",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3075,4466.64418353
"22",0.00104324,4.5990079,0.00103955,"2020-03-27T09:36:24.353",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,396,3077,4466.64418353
"23",0.00104325,4.5990079,0.00104019,"2020-03-27T09:36:39.34",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"24",0.00104325,4.5990079,0.00104033,"2020-03-27T09:36:54.37",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3074,4466.64418353
